2021-10-15	0.033080	0.003503	0.033504	0.001255	5.458008	103598000.000000
2021-10-06	0.012732	-0.002319	0.013455	-0.006948	2.050491	50660000.000000
2021-08-23	0.020600	0.003734	0.025297	0.003144	3.296005	65362000.000000
2021-07-26	0.011809	0.004521	0.015161	-0.002568	2.158997	58002000.000000
2021-05-17	0.014735	0.007146	0.021673	0.003627	2.374496	74478000.000000
2021-05-14	0.019431	0.007620	0.021316	0.006810	3.071503	66500000.000000
2021-03-19	0.015512	0.000409	0.016281	-0.003752	2.348495	92508000.000000
2021-03-05	0.007687	0.009212	0.010556	-0.032432	1.144501	107772000.000000
2021-02-04	0.005576	0.005274	0.010406	-0.010500	0.923508	73414000.000000
2020-11-24	0.006348	0.000681	0.011574	-0.003915	0.983505	72042000.000000
2020-10-23	0.008815	0.004596	0.009108	-0.011460	1.399994	69334000.000000
2020-10-12	0.047550	0.019257	0.063770	0.016095	7.813995	167284000.000000
2020-09-15	0.017132	0.010696	0.023220	0.001918	2.658005	80430000.000000
2020-09-01	0.013955	0.011191	0.018230	0.004648	2.407990	68644000.000000
2020-08-26	0.028496	0.001381	0.031451	-0.000574	4.768005	130174000.000000
2020-08-25	0.011801	-0.003770	0.015099	-0.012233	1.951492	79856000.000000
2020-08-24	0.006923	0.007742	0.029105	-0.008269	1.137009	93326000.000000
2020-08-05	0.021091	0.001574	0.023818	-0.003673	3.309998	78330000.000000
2020-08-04	0.008657	-0.003432	0.017787	-0.003432	1.347000	93886000.000000
2020-07-09	0.032949	0.011321	0.036600	-0.002308	5.076004	127774000.000000
2020-06-16	0.016555	0.018393	0.018393	0.001290	2.129501	71712000.000000
2020-06-12	-0.005059	0.016908	0.024832	-0.021349	-0.647003	108722000.000000
2020-05-14	0.008839	-0.002918	0.009903	-0.006212	1.046494	72962000.000000
2020-04-20	0.007836	0.006295	0.029465	0.004653	0.930496	115414000.000000
2020-04-17	-0.013782	-0.014891	-0.003401	-0.038274	-1.659500	158600000.000000
2020-04-14	0.052769	0.014570	0.056772	0.007995	5.722504	161744000.000000
2020-04-07	0.007013	0.009772	0.019088	0.000015	0.700500	102280000.000000
